turn,heading,epfd,hour,imo,to_bow,course,to_stern,status,callsign,month,to_port,to_starboard,lat,spare_1,destination,maneuver,msg_type,raim,dte,second,ais_version,speed,ship_type,draught,day,accuracy,radio,minute,mmsi,year,repeat,lon,shipname
0.0,209,,,,,116.0,,5,,,,,41.380143,b'\x00',,0,3,False,,47,,0.1,,,,False,215434,,229249000,,0,2.185385,
,,1,16,0,24,,18,,V7OG6,10,5,5,,b'\x00',BARCELONA,,5,,False,,0,,37,2.7,14,,,0,538070468,,0,,LIBERTA
0.0,192,,,,,102.1,,0,,,,,41.263443,b'\x00',,0,1,False,,46,,1.3,,,,False,25600,,357096000,,0,2.506058,
0.0,5,,,,,253.5,,0,,,,,41.34083,b'\x00',,0,1,False,,45,,0.0,,,,False,25600,,224220360,,0,2.150242,
25.0,281,,,,,281.6,,0,,,,,41.268395,b'\x00',,0,3,False,,44,,10.9,,,,True,0,,613013405,,0,2.228835,
TurnRate.NO_TI_DEFAULT,511,,,,,360.0,,0,,,,,41.32772,b'\x00',,0,1,True,,46,,0.0,,,,True,100061,,225987164,,0,2.15815,
-1.0,110,,,,,149.7,,0,,,,,41.340312,b'\x00',,0,1,False,,46,,0.1,,,,True,67294,,225994881,,0,2.165448,
0.0,26,,,,,310.7,,0,,,,,41.364018,b'\x00',,0,1,False,,45,,0.0,,,,False,100069,,224115180,,0,2.179693,
0.0,6,,,,,103.8,,15,,,,,41.345815,b'\x00',,0,1,False,,44,,0.0,,,,True,100084,,224026000,,0,2.151988,
0.0,216,,,,,133.6,,0,,,,,41.311068,b'\x00',,0,1,False,,47,,0.1,,,,True,49276,,636020899,,0,2.150938,
-4.0,281,,,,,281.3,,0,,,,,41.268403,b'\x00',,0,3,False,,45,,10.8,,,,True,4016,,613013405,,0,2.228768,
TurnRate.NO_TI_DEFAULT,511,,,,,360.0,,0,,,,,41.340407,b'\x00',,0,1,True,,47,,0.0,,,,True,25600,,224551570,,0,2.165248,
0.0,6,,,,,185.9,,9,,,,,41.369837,b'\x00',,0,1,False,,60,,0.0,,,,True,25600,,224904000,,0,2.185767,
